city,state,time,temp,precip_prob,wind,forecast
Gaylord National,Maryland,2022-07-22T04:00:00Z,80.02,0.01,3.8,FALSE
Gaylord National,Maryland,2022-07-22T05:00:00Z,78.87,0.01,2.75,FALSE
Gaylord National,Maryland,2022-07-22T06:00:00Z,77.54,0.01,2.72,FALSE
Gaylord National,Maryland,2022-07-22T07:00:00Z,76.7,0,2.04,FALSE
Gaylord National,Maryland,2022-07-22T08:00:00Z,75.7,0,2.42,FALSE
Gaylord National,Maryland,2022-07-22T09:00:00Z,76.57,0,1.92,FALSE
Gaylord National,Maryland,2022-07-22T10:00:00Z,74.87,0,2.49,FALSE
Gaylord National,Maryland,2022-07-22T11:00:00Z,75.81,0,2.91,FALSE
Gaylord National,Maryland,2022-07-22T12:00:00Z,78.88,0,3.53,FALSE
Gaylord National,Maryland,2022-07-22T13:00:00Z,82.23,0,4.17,FALSE
Gaylord National,Maryland,2022-07-22T14:00:00Z,85.45,0,4.13,FALSE
Gaylord National,Maryland,2022-07-22T15:00:00Z,88.02,0,4.05,FALSE
Gaylord National,Maryland,2022-07-22T16:00:00Z,89.77,0,3.52,FALSE
Gaylord National,Maryland,2022-07-22T17:00:00Z,91.01,0,3.63,FALSE
Gaylord National,Maryland,2022-07-22T18:00:00Z,92.39,0,4.29,FALSE
Gaylord National,Maryland,2022-07-22T19:00:00Z,93.01,0,5.16,FALSE
Gaylord National,Maryland,2022-07-22T20:00:00Z,93.14,0,5.73,FALSE
Gaylord National,Maryland,2022-07-22T21:00:00Z,92.74,0,6.48,FALSE
Gaylord National,Maryland,2022-07-22T22:00:00Z,92.04,0,6.11,FALSE
Gaylord National,Maryland,2022-07-22T23:00:00Z,91.17,0,5.12,FALSE
Gaylord National,Maryland,2022-07-23T00:00:00Z,88.44,0,5.02,FALSE
Gaylord National,Maryland,2022-07-23T01:00:00Z,87.09,0,3.97,FALSE
Gaylord National,Maryland,2022-07-23T02:00:00Z,84.7,0,3.29,FALSE
Gaylord National,Maryland,2022-07-23T03:00:00Z,83.01,0,3.28,FALSE
Gaylord National,Maryland,2022-07-23T04:00:00Z,81.76,0,3.15,FALSE
Gaylord National,Maryland,2022-07-23T05:00:00Z,80.66,0,2.7,FALSE
Gaylord National,Maryland,2022-07-23T06:00:00Z,78.88,0,2.86,FALSE
Gaylord National,Maryland,2022-07-23T07:00:00Z,77.71,0,2.65,FALSE
Gaylord National,Maryland,2022-07-23T08:00:00Z,76.61,0,2.25,FALSE
Gaylord National,Maryland,2022-07-23T09:00:00Z,76.76,0,1.99,FALSE
Gaylord National,Maryland,2022-07-23T10:00:00Z,76.03,0,1.73,FALSE
Gaylord National,Maryland,2022-07-23T11:00:00Z,77.45,0,2.05,FALSE
Gaylord National,Maryland,2022-07-23T12:00:00Z,80.59,0,2.23,FALSE
Gaylord National,Maryland,2022-07-23T13:00:00Z,83.88,0.02,3.12,FALSE
Gaylord National,Maryland,2022-07-23T14:00:00Z,85.86,0.01,2.69,FALSE
Gaylord National,Maryland,2022-07-23T15:00:00Z,88.41,0.01,2.12,FALSE
Gaylord National,Maryland,2022-07-23T16:00:00Z,89.92,0,3.12,FALSE
Gaylord National,Maryland,2022-07-23T17:00:00Z,91.05,0,4.27,FALSE
Gaylord National,Maryland,2022-07-23T18:00:00Z,92.13,0,4.77,FALSE
Gaylord National,Maryland,2022-07-23T19:00:00Z,93.46,0,5.28,FALSE
Gaylord National,Maryland,2022-07-23T20:00:00Z,94.25,0,5.45,FALSE
Gaylord National,Maryland,2022-07-23T21:00:00Z,93.55,0,5.77,FALSE
Gaylord National,Maryland,2022-07-23T22:00:00Z,94.58,0,5.43,FALSE
Gaylord National,Maryland,2022-07-23T23:00:00Z,92.85,0,4.51,FALSE
Gaylord National,Maryland,2022-07-24T00:00:00Z,89.37,0,3.75,FALSE
Gaylord National,Maryland,2022-07-24T01:00:00Z,84.71,0.02,6.85,FALSE
Gaylord National,Maryland,2022-07-24T02:00:00Z,82.77,0.02,2.69,FALSE
Gaylord National,Maryland,2022-07-24T03:00:00Z,80.63,0,2.62,FALSE
Gaylord National,Maryland,2022-07-24T04:00:00Z,78.92,0,2.39,FALSE
Gaylord National,Maryland,2022-07-24T05:00:00Z,77.91,0,2.18,FALSE
Gaylord National,Maryland,2022-07-24T06:00:00Z,76.67,0,3.11,FALSE
Gaylord National,Maryland,2022-07-24T07:00:00Z,76.38,0,2.16,FALSE
Gaylord National,Maryland,2022-07-24T08:00:00Z,75.47,0,2.16,FALSE
Gaylord National,Maryland,2022-07-24T09:00:00Z,74.96,0,1.68,FALSE
Gaylord National,Maryland,2022-07-24T10:00:00Z,73.6,0,2.06,FALSE
Gaylord National,Maryland,2022-07-24T11:00:00Z,74.66,0,2.22,FALSE
Gaylord National,Maryland,2022-07-24T12:00:00Z,78.32,0,2.01,FALSE
Gaylord National,Maryland,2022-07-24T13:00:00Z,80.55,0,2.95,FALSE
Gaylord National,Maryland,2022-07-24T14:00:00Z,82.52,0,2.62,FALSE
Gaylord National,Maryland,2022-07-24T15:00:00Z,87.03,0,3.35,FALSE
Gaylord National,Maryland,2022-07-24T16:00:00Z,89.3,0,3.39,FALSE
Gaylord National,Maryland,2022-07-24T17:00:00Z,91.81,0,4.88,FALSE
Gaylord National,Maryland,2022-07-24T18:00:00Z,93.95,0,4.95,FALSE
Gaylord National,Maryland,2022-07-24T19:00:00Z,94.67,0,6.01,FALSE
Gaylord National,Maryland,2022-07-24T20:00:00Z,95.48,0,5.82,FALSE
Gaylord National,Maryland,2022-07-24T21:00:00Z,95.09,0,5.73,FALSE
Gaylord National,Maryland,2022-07-24T22:00:00Z,94.61,0,5.39,FALSE
Gaylord National,Maryland,2022-07-24T23:00:00Z,92.59,0,4.42,FALSE
Gaylord National,Maryland,2022-07-25T00:00:00Z,89.95,0,4.78,FALSE
Gaylord National,Maryland,2022-07-25T01:00:00Z,87.96,0,3.98,FALSE
Gaylord National,Maryland,2022-07-25T02:00:00Z,86.38,0,5.3,FALSE
Gaylord National,Maryland,2022-07-25T03:00:00Z,85.04,0,5.14,FALSE
Gaylord National,Maryland,2022-07-25T04:00:00Z,84.33,0,5.97,TRUE
Gaylord National,Maryland,2022-07-25T05:00:00Z,84.55,0,7.63,TRUE
Gaylord National,Maryland,2022-07-25T06:00:00Z,83.87,0.02,9.06,TRUE
Gaylord National,Maryland,2022-07-25T07:00:00Z,82.6,0,8.67,TRUE
Gaylord National,Maryland,2022-07-25T08:00:00Z,81.18,0,8.38,TRUE
Gaylord National,Maryland,2022-07-25T09:00:00Z,80.02,0,8.28,TRUE
Gaylord National,Maryland,2022-07-25T10:00:00Z,79.24,0,8.53,TRUE
Gaylord National,Maryland,2022-07-25T11:00:00Z,79.11,0,8.85,TRUE
Gaylord National,Maryland,2022-07-25T12:00:00Z,80.14,0,9.62,TRUE
Gaylord National,Maryland,2022-07-25T13:00:00Z,82.3,0,9.73,TRUE
Gaylord National,Maryland,2022-07-25T14:00:00Z,84.61,0,9.95,TRUE
Gaylord National,Maryland,2022-07-25T15:00:00Z,86.89,0,9.97,TRUE
Gaylord National,Maryland,2022-07-25T16:00:00Z,88.74,0,10.21,TRUE
Gaylord National,Maryland,2022-07-25T17:00:00Z,90.06,0.05,10.83,TRUE
Gaylord National,Maryland,2022-07-25T18:00:00Z,91.44,0,11.11,TRUE
Gaylord National,Maryland,2022-07-25T19:00:00Z,90.31,0.08,10.63,TRUE
Gaylord National,Maryland,2022-07-25T20:00:00Z,86.83,0.3,12.63,TRUE
Gaylord National,Maryland,2022-07-25T21:00:00Z,82.3,0.44,9.5,TRUE
Gaylord National,Maryland,2022-07-25T22:00:00Z,80.92,0.42,8.41,TRUE
Gaylord National,Maryland,2022-07-25T23:00:00Z,79.16,0.41,7.79,TRUE
Gaylord National,Maryland,2022-07-26T00:00:00Z,78.47,0.36,7.41,TRUE
Gaylord National,Maryland,2022-07-26T01:00:00Z,78,0.41,7.09,TRUE
Gaylord National,Maryland,2022-07-26T02:00:00Z,78.19,0.32,6.2,TRUE
Gaylord National,Maryland,2022-07-26T03:00:00Z,78.45,0.26,5.66,TRUE
Gaylord National,Maryland,2022-07-26T04:00:00Z,78.6,0.19,5.44,TRUE
Gaylord National,Maryland,2022-07-26T05:00:00Z,78.3,0.1,5,TRUE
Gaylord National,Maryland,2022-07-26T06:00:00Z,78.31,0.07,4.32,TRUE
Gaylord National,Maryland,2022-07-26T07:00:00Z,77.82,0.15,4.29,TRUE
Gaylord National,Maryland,2022-07-26T08:00:00Z,76.88,0.05,3.94,TRUE
Gaylord National,Maryland,2022-07-26T09:00:00Z,76.22,0.05,4.28,TRUE
Gaylord National,Maryland,2022-07-26T10:00:00Z,75.38,0.04,4.28,TRUE
Gaylord National,Maryland,2022-07-26T11:00:00Z,75,0.05,4.29,TRUE
Gaylord National,Maryland,2022-07-26T12:00:00Z,75.05,0.05,4.55,TRUE
Gaylord National,Maryland,2022-07-26T13:00:00Z,76.31,0,4.37,TRUE
Gaylord National,Maryland,2022-07-26T14:00:00Z,77.54,0,3.97,TRUE
Gaylord National,Maryland,2022-07-26T15:00:00Z,79.42,0,3.58,TRUE
Gaylord National,Maryland,2022-07-26T16:00:00Z,80.99,0,3.4,TRUE
Gaylord National,Maryland,2022-07-26T17:00:00Z,81.73,0,3.21,TRUE
Gaylord National,Maryland,2022-07-26T18:00:00Z,79.94,0.08,3.1,TRUE
Gaylord National,Maryland,2022-07-26T19:00:00Z,79.77,0.08,2.97,TRUE
Gaylord National,Maryland,2022-07-26T20:00:00Z,79.55,0.12,3.46,TRUE
Gaylord National,Maryland,2022-07-26T21:00:00Z,78.99,0.21,3.84,TRUE
Gaylord National,Maryland,2022-07-26T22:00:00Z,78.26,0.13,3.72,TRUE
Gaylord National,Maryland,2022-07-26T23:00:00Z,77.42,0.11,3.61,TRUE
Gaylord National,Maryland,2022-07-27T00:00:00Z,76.32,0.09,3.18,TRUE
Gaylord National,Maryland,2022-07-27T01:00:00Z,75.9,0.12,3.15,TRUE
Gaylord National,Maryland,2022-07-27T02:00:00Z,75.62,0.2,3.37,TRUE
Gaylord National,Maryland,2022-07-27T03:00:00Z,75.37,0.25,3.65,TRUE
